antecedente;consecuente;items_antecedente;items_consecuente;soporte_antecedente;soporte_consecuente;soporte;confianza;lift;leverage;conviccion;App
['opción'];['tarjeta'];1;1;0,05005324813631523;0,09158679446219382;0,01597444089456869;0,3191489361702127;3,4846610588817413;0,0113902243453428;1,3342318956336525;Banco Ripley
['mes'];['pagar'];1;1;0,05005324813631523;0,09904153354632587;0,01597444089456869;0,3191489361702127;3,222374742621825;0,011017090440173252;1,3232827476038338;Banco Ripley
['pagar'];['mes'];1;1;0,09904153354632587;0,05005324813631523;0,01597444089456869;0,16129032258064516;3,222374742621825;0,011017090440173252;1,132628819529778;Banco Ripley
['funcionar'];['pagar'];1;1;0,12460063897763578;0,09904153354632587;0,01597444089456869;0,1282051282051282;1,2944582299421008;0,0036338025293715364;1,0334523585792146;Banco Ripley
['pagar'];['error'];1;1;0,09904153354632587;0,06922257720979766;0,01597444089456869;0,16129032258064516;2,3300248138957813;0,009118530691681382;1,1097730810190873;Banco Ripley
['error'];['pagar'];1;1;0,06922257720979766;0,09904153354632587;0,01597444089456869;0,23076923076923075;2,3300248138957818;0,009118530691681382;1,1712460063897763;Banco Ripley
['pagar'];['funcionar'];1;1;0,09904153354632587;0,12460063897763578;0,01597444089456869;0,16129032258064516;1,294458229942101;0,0036338025293715364;1,0437453919882036;Banco Ripley
['tarjeta'];['aplicación'];1;1;0,09158679446219382;0,14909478168264112;0,014909478168264111;0,16279069767441862;1,091860465116279;0,0012543650429103978;1,0163590107679565;Banco Ripley
['malo'];['funcionar'];1;1;0,051118210862619806;0,12460063897763578;0,014909478168264111;0,2916666666666667;2,340811965811966;0,008540116431388162;1,2358579214433378;Banco Ripley
['abrir', 'quedar'];['blanco'];2;1;0,021299254526091587;0,07880724174653887;0,014909478168264111;0,7000000000000001;8,882432432432433;0,01323094266780535;3,070642527511538;Banco Ripley
['blanco', 'quedar'];['abrir'];2;1;0,051118210862619806;0,07454739084132056;0,014909478168264111;0,2916666666666667;3,9125;0,011098748923979353;1,3065213305769594;Banco Ripley
['blanco', 'abrir'];['quedar'];2;1;0,025559105431309903;0,10223642172523961;0,014909478168264111;0,5833333333333334;5,705729166666667;0,01229640668646885;2,154632587859425;Banco Ripley
['seguro'];['rápido'];1;1;0,046858359957401494;0,07561235356762513;0,014909478168264111;0,3181818181818182;4,208066581306018;0,011366407287566022;1,3557685481008164;Banco Ripley
['rápido'];['seguro'];1;1;0,07561235356762513;0,046858359957401494;0,014909478168264111;0,1971830985915493;4,208066581306018;0,011366407287566022;1,1872466042635876;Banco Ripley
['aplicación'];['dejar'];1;1;0,14909478168264112;0,09158679446219382;0,014909478168264111;0,09999999999999999;1,0918604651162789;0,0012543650429103978;1,009348006153118;Banco Ripley
['dejar'];['aplicación'];1;1;0,09158679446219382;0,14909478168264112;0,014909478168264111;0,16279069767441862;1,091860465116279;0,0012543650429103978;1,0163590107679565;Banco Ripley
['aplicación'];['tarjeta'];1;1;0,14909478168264112;0,09158679446219382;0,014909478168264111;0,09999999999999999;1,0918604651162789;0,0012543650429103978;1,009348006153118;Banco Ripley
